track,cond,model,si_sdr_base,si_sdr_enh,pesq_base,pesq_enh,dur_s
track_1,noise,gtcrn,15.33018,19.41633,1.3314673900604248,2.594487428665161,5.2
track_1,noise,gtcrn,25.023212,27.922386,2.091951608657837,3.30841064453125,3.296
track_1,noise,gtcrn,22.121605,24.535927,2.021024227142334,3.0293147563934326,3.792
track_1,noise,gtcrn,11.506654,15.965023,1.3634133338928223,1.677329421043396,5.2
track_1,noise,gtcrn,21.40877,21.366947,3.255758762359619,3.5748093128204346,3.296
track_1,noise,gtcrn,25.699821,23.957752,3.7816553115844727,4.026890277862549,6.192
track_1,noise,gtcrn,32.830276,30.112995,2.4442074298858643,2.9087934494018555,3.392
track_1,noise,gtcrn,26.103716,27.548048,2.6043004989624023,3.4456942081451416,5.792
track_1,noise,gtcrn,17.605066,20.044468,1.4601950645446777,2.563131332397461,3.296
track_1,noise,gtcrn,17.268347,21.836708,1.241624355316162,2.5981862545013428,3.488
track_1,noise,gtcrn,15.1563015,18.867521,1.148404836654663,2.3720688819885254,4.992
track_1,noise,gtcrn,12.268668,17.034029,1.2520686388015747,1.881725549697876,4.096
track_1,noise,gtcrn,23.597427,22.97019,2.144392251968384,3.4399619102478027,3.792
track_1,noise,gtcrn,28.153479,26.295889,2.721083402633667,3.667259931564331,2.992
track_1,noise,gtcrn,18.857708,22.37962,1.368030071258545,2.9040780067443848,3.2
track_1,noise,gtcrn,26.152222,29.175343,3.4028501510620117,4.011637210845947,4.496
track_1,noise,gtcrn,18.111956,22.005016,1.474520206451416,2.903197765350342,5.488
track_1,noise,gtcrn,19.475317,21.57364,1.4808921813964844,2.495854139328003,5.392
track_1,noise,gtcrn,10.320315,16.41581,1.3099279403686523,2.366549015045166,6.0
track_1,noise,gtcrn,30.802576,28.82344,2.2586326599121094,3.396998405456543,3.888
track_1,noise,gtcrn,18.825275,20.2659,1.6957266330718994,2.95523738861084,3.888
track_1,noise,gtcrn,21.83853,22.181816,2.178978204727173,2.926839590072632,3.296
track_1,noise,gtcrn,19.018251,22.196808,1.419381856918335,2.7783572673797607,4.192
track_1,noise,gtcrn,21.296919,24.096096,1.4466115236282349,2.9734678268432617,4.0
track_1,noise,gtcrn,17.82286,21.35847,3.1053919792175293,3.628713369369507,5.792
track_1,noise,gtcrn,16.385925,21.24915,2.3558404445648193,3.0304195880889893,5.392
track_1,noise,gtcrn,20.329792,21.113283,2.1518545150756836,2.653489351272583,4.0
track_1,noise,gtcrn,26.957285,23.217154,2.838949203491211,3.059063196182251,3.936
track_1,noise,gtcrn,29.434402,15.510472,3.379441022872925,2.4839906692504883,5.984
track_1,noise,gtcrn,18.469994,11.872929,1.9448740482330322,2.2512505054473877,6.4
track_1,noise,gtcrn,13.842326,18.820728,1.4282842874526978,2.751455783843994,6.224
track_1,noise,gtcrn,20.190811,15.546459,3.4954748153686523,2.360978364944458,6.304
track_1,noise,gtcrn,12.386088,15.608093,1.321964144706726,2.8584694862365723,3.328
track_1,noise,gtcrn,12.359827,16.387484,1.5641272068023682,2.1072871685028076,3.264
track_1,noise,gtcrn,15.385523,17.890646,1.3969513177871704,2.6281533241271973,6.608
track_1,noise,gtcrn,22.811028,9.277212,2.3912949562072754,2.0824170112609863,7.888
track_1,noise,gtcrn,18.212141,15.096739,2.8204355239868164,2.78792405128479,5.072
track_1,noise,gtcrn,16.960228,19.81222,1.741457462310791,2.547488212585449,3.904
track_1,noise,gtcrn,29.512642,20.04301,3.6636688709259033,3.971066951751709,4.368
track_1,noise,gtcrn,19.46381,22.284832,2.599956512451172,3.0110409259796143,9.344
track_1,noise,gtcrn,14.01649,17.415512,1.4463493824005127,2.4350321292877197,3.216
track_1,noise,gtcrn,19.945114,21.918468,1.656982660293579,2.396251678466797,6.656
track_1,noise,gtcrn,20.614231,18.192263,2.464195728302002,3.123417854309082,5.488
track_1,noise,gtcrn,24.524305,18.17611,2.7608156204223633,3.1403651237487793,4.656
track_1,noise,gtcrn,28.094084,26.087542,3.208289861679077,3.7265002727508545,6.032
track_1,noise,gtcrn,19.055204,16.630491,2.1226296424865723,2.532942056655884,4.16
track_1,noise,gtcrn,21.359827,21.999405,2.4179697036743164,2.3086163997650146,3.968
track_1,noise,gtcrn,19.818771,23.556517,2.329463481903076,3.3879690170288086,3.12
track_1,noise,gtcrn,15.603747,17.088512,1.8815913200378418,2.2688539028167725,3.648
track_1,noise,gtcrn,16.46452,21.071106,2.0512807369232178,2.9032480716705322,6.544
track_1,noise,gtcrn,22.440266,21.64801,2.787637948989868,3.3728513717651367,3.392
track_1,noise,gtcrn,23.163588,24.188316,2.939746856689453,3.196819305419922,5.008
track_1,noise,gtcrn,22.845564,25.759514,2.4053187370300293,3.0316662788391113,3.408
