model,file,si_sdr_clean_vs_enh,lsd_clean_vs_enh,dur_s
ulunas,p248_289_mic2-ee24f8f58894-162960736964.wav,28.7584,6.744,5.446
ulunas,p248_308_mic2-4fcf35e6b2a5-ee5e97d781b1.wav,30.7415,4.8476,3.021
ulunas,p248_310_mic2-eb1378db9276-39c3c1dd6cc5.wav,33.6406,4.8757,5.25
ulunas,p248_314_mic1-b9fbaa00dff3-bea9f54bf46f.wav,30.9353,4.7574,3.372
ulunas,p248_319_mic2-9a001163e0bd-d5eb7ccaeee3.wav,31.4948,5.5346,3.468
ulunas,p248_325_mic1-80f8f407b824-d16cab9082bd.wav,23.274,6.0709,3.338
ulunas,p248_336_mic1-cfb47a783997-1741fb799e16.wav,27.9801,3.8989,5.738
ulunas,p248_347_mic2-bba2d8c7cddb-d20403dd5fe4.wav,21.299,6.4046,3.458
ulunas,p248_353_mic1-c0e7dca1ab7d-d60d664aa71d.wav,24.7565,6.609,4.758
ulunas,p248_362_mic2-5cb727d532c7-83cf2e1c62a3.wav,33.3695,5.4765,3.202
ulunas,p249_018_mic2-c6f4066e375e-5ba9565c74e2.wav,20.9126,5.3226,5.121
ulunas,p249_035_mic2-83e638959925-5afb4fbf3a6f.wav,19.1298,5.3609,4.304
ulunas,p249_205_mic2-52160b761109-5cce4f04d659.wav,29.1925,6.6668,4.602
ulunas,p249_256_mic2-4e892800ed36-7c2e53bca0aa.wav,22.1939,6.0979,4.022
ulunas,p249_278_mic2-e64c67785b3e-a6c570263b47.wav,23.0976,7.2923,4.944
ulunas,p249_287_mic2-f2ce754dc345-a6de49ecec23.wav,27.4911,5.5918,4.423
ulunas,p249_338_mic2-4081725953ea-10682cf62ee2.wav,22.3997,7.5073,4.894
ulunas,p249_341_mic2-64c145892de7-c55259a84124.wav,20.8446,6.1593,3.553
ulunas,p250_019_mic2-f95c1a8b42ed-2b66e82c5043.wav,26.0237,4.9694,6.781
ulunas,p250_052_mic2-e2e39db695b9-36bb1c47c85d.wav,17.0909,8.2366,3.287
ulunas,p250_245_mic2-f40c49e78ef1-ac2e247ba410.wav,36.5999,4.8822,3.25
ulunas,p250_260_mic2-4ac388086047-8fa01a7c32d8.wav,29.1597,6.2444,3.563
ulunas,p250_292_mic1-fb27c3574ff5-3924c5dcc445.wav,16.2408,6.2753,3.087
ulunas,p250_305_mic2-affc7368f644-d308de38e5eb.wav,26.3054,7.1713,3.188
ulunas,p250_312_mic2-04bb2f5fc576-8eea76f291b7.wav,29.7357,5.6728,3.673
ulunas,p250_334_mic2-db04a307a813-534005de3908.wav,29.3091,6.344,3.204
ulunas,p250_443_mic1-aa70a09729d6-6ce758ae1acf.wav,27.5182,6.6596,3.286
ulunas,p251_006_mic2-9ebe79d0ddde-b0606c0e278e.wav,30.2563,6.0002,5.577
ulunas,p252_002_mic2-bf278953a6c9-03e7487569ee.wav,26.8486,3.7801,4.313
